"","long","lat","city"
"185","-73.8648268","40.8447819",NA
"186","-112.3576567","33.4353394",NA
"187","-87.2169149","30.421309",NA
"188","-73.8648268","40.8447819",NA
"189","-87.2169149","30.421309",NA
"190","-119.8138027","39.5296329",NA
"191","-73.8648268","40.8447819",NA
"192","-73.8648268","40.8447819",NA
"193","-73.8648268","40.8447819",NA
"194","-73.8648268","40.8447819",NA
"195","-73.8648268","40.8447819",NA
"196","-73.8648268","40.8447819",NA
"197","-73.8648268","40.8447819",NA
"198","-73.8648268","40.8447819",NA
"199","-73.8648268","40.8447819",NA
"200","-119.8138027","39.5296329",NA
"201","-73.8648268","40.8447819",NA
"202","-73.8648268","40.8447819",NA
"203","-73.8648268","40.8447819",NA
"204","-119.8138027","39.5296329",NA
"205","-73.8648268","40.8447819",NA
"206","-73.8648268","40.8447819",NA
"207","-86.5861037","34.7303688",NA
"208","-73.8648268","40.8447819",NA
"209","-91.1403196","30.4582829",NA
"210","-71.4547891","42.9956397",NA
"211","-73.8648268","40.8447819",NA
"212","-73.8648268","40.8447819",NA
"213","-74.1562551","40.7464901",NA
"214","-71.4547891","42.9956397",NA
"215","-73.8648268","40.8447819",NA
"216","-73.8648268","40.8447819",NA
"217","-73.8648268","40.8447819",NA
"218","-73.8648268","40.8447819",NA
"219","-91.1403196","30.4582829",NA
"220","-73.8648268","40.8447819",NA
"221","-73.8648268","40.8447819",NA
"222","-121.530234","38.5804609",NA
"223","-78.7811169","35.79154",NA
"224","-86.5861037","34.7303688",NA
"225","-73.8648268","40.8447819",NA
"226","-73.8648268","40.8447819",NA
"227","-73.8648268","40.8447819",NA
"228","-73.8648268","40.8447819",NA
"229","-112.3576567","33.4353394",NA
"230","-87.2169149","30.421309",NA
"231","-73.8648268","40.8447819",NA
"232","-87.2169149","30.421309",NA
"233","-119.8138027","39.5296329",NA
"234","-73.8648268","40.8447819",NA
"235","-73.8648268","40.8447819",NA
"236","-73.8648268","40.8447819",NA
"237","-73.8648268","40.8447819",NA
"238","-73.8648268","40.8447819",NA
"239","-73.8648268","40.8447819",NA
"240","-73.8648268","40.8447819",NA
"241","-73.8648268","40.8447819",NA
"242","-73.8648268","40.8447819",NA
"243","-119.8138027","39.5296329",NA
"244","-73.8648268","40.8447819",NA
"245","-73.8648268","40.8447819",NA
"246","-73.8648268","40.8447819",NA
"247","-119.8138027","39.5296329",NA
"248","-73.8648268","40.8447819",NA
"249","-73.8648268","40.8447819",NA
"250","-86.5861037","34.7303688",NA
"251","-73.8648268","40.8447819",NA
"252","-91.1403196","30.4582829",NA
"253","-71.4547891","42.9956397",NA
"254","-73.8648268","40.8447819",NA
"255","-73.8648268","40.8447819",NA
"256","-74.1562551","40.7464901",NA
"257","-71.4547891","42.9956397",NA
"258","-73.8648268","40.8447819",NA
"259","-73.8648268","40.8447819",NA
"260","-73.8648268","40.8447819",NA
"261","-73.8648268","40.8447819",NA
"262","-91.1403196","30.4582829",NA
"263","-73.8648268","40.8447819",NA
"264","-73.8648268","40.8447819",NA
"265","-121.530234","38.5804609",NA
"266","-78.7811169","35.79154",NA
"267","-86.5861037","34.7303688",NA
"268","-73.8648268","40.8447819",NA
"269","-73.8648268","40.8447819",NA
"270","-73.8648268","40.8447819",NA
"271","-73.8648268","40.8447819",NA
"272","-112.3576567","33.4353394",NA
"273","-87.2169149","30.421309",NA
"274","-73.8648268","40.8447819",NA
"275","-87.2169149","30.421309",NA
"276","-119.8138027","39.5296329",NA
"277","-73.8648268","40.8447819",NA
"278","-73.8648268","40.8447819",NA
"279","-73.8648268","40.8447819",NA
"280","-73.8648268","40.8447819",NA
"281","-73.8648268","40.8447819",NA
"282","-73.8648268","40.8447819",NA
"283","-73.8648268","40.8447819",NA
"284","-73.8648268","40.8447819",NA
"285","-73.8648268","40.8447819",NA
"286","-119.8138027","39.5296329",NA
"287","-73.8648268","40.8447819",NA
"288","-73.8648268","40.8447819",NA
"289","-73.8648268","40.8447819",NA
"290","-119.8138027","39.5296329",NA
"291","-73.8648268","40.8447819",NA
"292","-73.8648268","40.8447819",NA
"293","-86.5861037","34.7303688",NA
"294","-73.8648268","40.8447819",NA
"295","-91.1403196","30.4582829",NA
"296","-71.4547891","42.9956397",NA
"297","-73.8648268","40.8447819",NA
"298","-73.8648268","40.8447819",NA
"299","-74.1562551","40.7464901",NA
"300","-71.4547891","42.9956397",NA
"301","-73.8648268","40.8447819",NA
"302","-73.8648268","40.8447819",NA
"303","-73.8648268","40.8447819",NA
"304","-73.8648268","40.8447819",NA
"305","-91.1403196","30.4582829",NA
"306","-73.8648268","40.8447819",NA
"307","-73.8648268","40.8447819",NA
"308","-121.530234","38.5804609",NA
"309","-78.7811169","35.79154",NA
"310","-86.5861037","34.7303688",NA
"311","-73.8648268","40.8447819",NA
"312","-73.8648268","40.8447819",NA
"313","-73.8648268","40.8447819",NA
"314","-73.8648268","40.8447819",NA
"315","-112.3576567","33.4353394",NA
"316","-87.2169149","30.421309",NA
"317","-73.8648268","40.8447819",NA
"318","-87.2169149","30.421309",NA
"319","-119.8138027","39.5296329",NA
"320","-73.8648268","40.8447819",NA
"321","-73.8648268","40.8447819",NA
"322","-73.8648268","40.8447819",NA
"323","-73.8648268","40.8447819",NA
"324","-73.8648268","40.8447819",NA
"325","-73.8648268","40.8447819",NA
"326","-73.8648268","40.8447819",NA
"327","-73.8648268","40.8447819",NA
"328","-73.8648268","40.8447819",NA
"329","-119.8138027","39.5296329",NA
"330","-73.8648268","40.8447819",NA
"331","-73.8648268","40.8447819",NA
"332","-73.8648268","40.8447819",NA
"333","-119.8138027","39.5296329",NA
"334","-73.8648268","40.8447819",NA
"335","-73.8648268","40.8447819",NA
"336","-86.5861037","34.7303688",NA
"337","-73.8648268","40.8447819",NA
"338","-91.1403196","30.4582829",NA
"339","-71.4547891","42.9956397",NA
"340","-73.8648268","40.8447819",NA
"341","-73.8648268","40.8447819",NA
"342","-74.1562551","40.7464901",NA
"343","-71.4547891","42.9956397",NA
"344","-73.8648268","40.8447819",NA
"345","-73.8648268","40.8447819",NA
